word,male,male_ratio,female,female_ratio,female_male_ratio
good,12337,0.344330012,9020,0.374010034,1.086196444
hope,2774,0.077423316,2028,0.084090061,1.086107712
fair,1061,0.029612883,775,0.032135009,1.085169858
respect,1132,0.031594518,826,0.034249699,1.084039293
ice,381,0.010633844,278,0.011527139,1.084004847
emot,857,0.023919172,624,0.025873865,1.081720777
face,772,0.021546792,562,0.023303064,1.0815097
strive,419,0.011694437,305,0.012646681,1.081427029
buy,360,0.010047727,262,0.010863706,1.08121035
met,591,0.016495018,430,0.017829747,1.080917078
funni,2351,0.065617237,1710,0.070904341,1.080574924
eat,2335,0.065170672,1698,0.070406767,1.080344349
mine,590,0.016467108,429,0.017788282,1.080231119
realli,8278,0.231041893,6018,0.249533524,1.080035834
dark,467,0.013034134,339,0.014056475,1.078435614
quit,1617,0.045131039,1173,0.04863789,1.077703755
perform,488,0.013620252,354,0.014678443,1.077692458
introvert,455,0.01269921,330,0.013683294,1.077491733
find,6568,0.183315192,4760,0.197371149,1.076676446
easygo,722,0.020151274,523,0.021685948,1.076157644
trust,562,0.015685618,407,0.016876063,1.075894029
fast,380,0.010605934,275,0.011402745,1.075128813
similar,517,0.014429652,374,0.015507733,1.074712902
journey,408,0.011387424,295,0.012232035,1.074170588
origin,1401,0.039102403,1012,0.041962101,1.07313357
drive,1123,0.031343325,811,0.033627731,1.07288334
old,2441,0.068129169,1761,0.073019032,1.071773415
give,2367,0.066063803,1705,0.070697019,1.070132439
doesnt,1523,0.042507466,1097,0.045486586,1.070084634
mean,2774,0.077423316,1998,0.082846125,1.07004103
world,4990,0.139272656,3593,0.148982046,1.069714974
key,403,0.011247872,290,0.012024713,1.069065601
yes,1191,0.033241229,857,0.0355351,1.069006791
lot,6106,0.170420609,4392,0.182112203,1.068604344
order,543,0.015155321,390,0.016171166,1.067028897
describ,1664,0.046442826,1195,0.04955011,1.066905581
convers,2533,0.070696921,1819,0.075423975,1.066863637
settl,500,0.013955176,359,0.014885765,1.066684165
keep,3042,0.084903291,2184,0.090558527,1.066607978
whole,896,0.025007675,643,0.026661691,1.066140317
enjoy,12328,0.344078819,8846,0.366795207,1.066020884
present,498,0.013899355,357,0.014802836,1.065001641
bay,5195,0.144994278,3721,0.154289505,1.064107543
master,439,0.012252645,314,0.013019862,1.062616442
